hand,board
"7s,7h","6d,9s,As,Ts,2c"
"3c,5c","Kh,4h,6s"
"9d,Tc","3c,Th,5h"
"9d,2c","Jd,3s,Qd,Ad,2h"
"Kh,Qd","Jh,Ah,5s,6d"
"2d,9d","8h,Td,3s"
"7h,8c","Jc,3s,5d,Td"
"8d,Qs","7d,Jc,4s,9h"
"8s,Kd","As,Ts,8d,Qh"
"Kc,8c","Jd,Qs,8h,4c"
"5s,Kc","5d,8h,4h,6s,6d"
"7h,Td","Qd,3s,Th"
"Ks,Tc","Td,2c,5s,6c,8d"
"As,9h","5h,9s,7s,Td"
"Ac,Jh","9d,2d,6s,9h,Ah"
"9c,Qh","7h,6s,Js,Kd,Jh"
"6h,Ts","6d,9s,Ah"
"8c,Jd","Jh,Ad,2h,9h"
"Js,Ad","5d,Ac,4d,2d"
"2d,Ks","9s,6s,5h"
"4c,6d","9s,5s,2s,5h,Ad"
"Ad,9d","9s,Td,Jh,5d,Jd"
"9s,Qc","7c,Jc,Kh,As"
"Qs,7s","Kh,4c,Ad,Qd"
"Qc,8s","Js,Jc,4d,9c"
"Jd,5c","Ks,Qs,4s"
"Qh,Td","Jh,Jc,6h,4s"
"Kc,2c","9s,8s,Th"
"3d,9c","7d,9d,5d"
"3s,2d","6c,9s,Ac,Th,As"
"4s,Ad","2c,2s,9d"
"Kh,3d","2d,Jc,9s,As,7h"
"Ac,8d","Td,Js,Kc"
"Kc,6s","4h,Th,3h,8s,2h"
"7d,8d","7c,3c,7s"
"4s,7s","Qc,8h,6d,7c"
"As,5h","4s,Qh,Jd,6h"
"Qs,7h","2h,7c,Tc,8s"
"Jh,2d","Qd,2h,8d,Ts,Jc"
"7h,4d","9c,9s,3d,Qc,8s"
"Tc,Jh","Ks,3h,2c,Ad,As"
"Qc,4s","8s,8d,9d,Jd,4c"
"Ad,5h","4s,Qs,6h,Qh,Ah"
"7h,8c","Kc,6h,Qh,2c"
"Ad,9h","4d,Ac,Td"
"3s,Kd","Td,4h,9s,Jc"
"5d,As","2s,Kc,9s,8h,5s"
"Kh,Jh","6s,Kc,2d,2s,Ac"
"7c,6h","7d,5h,Jh,Jc"
"5d,Tc","Qs,2s,9h,8d"
"Ad,8s","Kc,Ac,Tc,4d"
"Ac,Qh","2s,8c,Ah,4h,3c"
"2d,As","6c,6s,6h"
"8h,As","Jd,3c,7h,4h,4c"
"Jd,7c","Qd,Ts,2c"
"Qs,Ad","Qd,Qh,Ks"
"Tc,Td","9d,8d,Kc,Ac"
"2s,Qd","6d,9h,6c"
"Ts,2d","6c,Ad,Jc,8c,Jh"
"As,6h","Qh,2s,7h,Jd"
"Ac,6s","4h,As,Ah,6d,Ts"
"5d,4c","3s,Ah,8h"
"Ac,4h","5d,Ks,Qs,Qh"
"8s,2c","6c,3h,Kc"
"Qd,2d","Jc,4h,8c,9c,Ad"
"4d,Kc","Kd,Kh,Td,6c"
"6d,4h","5s,Kc,Ah,As,Ks"
"Ks,4h","Qc,5s,Js,9h,8d"
"8s,8d","Qd,Qc,4h,9d,Qh"
"Kd,Jh","Ts,9s,Ah,5c"
"7s,2d","3s,Jc,6h,4h"
"Td,2s","Tc,6c,5s,2c,2d"
"6s,5h","Qc,4h,6h,2c"
"6s,2h","5h,8d,8s,7c,9c"
"9h,8d","Qh,Kd,4s"
"Ks,8c","6s,7d,2h,9d,9c"
"Jh,Jc","Qd,Qh,5d,4s,3s"
"9d,6c","5h,2d,Td"
"Qs,5d","2d,5h,Jc,6s,6c"
"2c,Jd","Tc,Ks,9d"
"Qc,9h","9s,4d,5s"
"6d,Jc","4d,5h,Kh,8s,3c"
"8s,Js","4h,5h,7s,5s,3h"
"6d,3h","2h,Jc,7s,Kc"
"8c,Qh","Qc,Jc,4h"
"9h,5c","2d,4s,7s,Ac"
"7c,Qh","Jd,Qc,6c,2h"
"5c,Qs","4d,3s,8c,2c"
"Jh,Kc","6d,Qs,5c,Ac,6h"
"Td,Qh","5s,7d,7h"
"Ac,7d","Td,4d,6c"
"7h,7d","Kd,6d,Jc,6h"
"3h,7c","Jh,Th,3c,2s"
"Jc,Ts","Tc,6c,Qs"
"4c,Kh","Th,2c,Jc,9s"
"2h,6h","5s,Kh,5c,4h,Qh"
"Qh,Qs","9c,3s,5c"
"Kd,4c","7h,9c,7c"
"2c,Js","5d,9h,Td,5s"
"Kd,4d","5c,Td,6h,Ts,9h"
"Qh,9d","Td,8s,Jc,4d"
"5s,6s","Tc,Ks,2h"
"Js,7h","8s,5h,3s,3d"
"8h,9c","4d,9h,2c"
"Ah,Jc","Kh,Th,3d"
"Td,5d","2c,4h,8h"
"2h,3s","8h,Qd,As,9s"
"Jd,5c","7h,5h,6d,Tc,Th"
"2d,Kd","8h,6h,7s"
"Qh,5c","9c,7d,Jd"
"7s,4s","Th,Qh,Jc,9h,Qs"
"Ah,3h","Qd,2d,5c,Th,8h"
"6d,Qs","8c,5d,Ts"
"Qd,Jc","As,7d,9c,3c,9d"
"3d,4s","7h,4d,Ad"
"Qh,2d","6d,5d,7h"
"Td,6h","4c,9c,9s"
"As,4d","5c,2s,Qd"
"4h,Ac","Td,2d,8h,9s"
"5d,7d","Ac,Tc,8h,2s,Kc"
"Jh,Ks","4d,Ad,3h"
"4h,Qs","6c,Ah,4d,3h,4s"
"Js,Th","8d,As,5d,Jc"
"3c,Td","9s,Js,8c,6h,Jh"
"Ts,8h","9c,7d,Kc,5d"
"Ks,Jd","4d,8d,9d"
"8s,6h","5s,7h,8h,3s"
"Qd,5c","7c,Qh,Ts,8c"
"Js,Qs","5h,4c,Jd"
"Kd,3d","Js,2s,Tc,9s"
"9s,5d","8d,5s,7h,4c,Qh"
"7c,4s","4d,Ad,Ac,Jc,9s"
"Ad,4d","Jd,7s,9d,Qc,8h"
"Ts,5s","Kh,2s,6c,9c,Ah"
"9h,Qh","5s,6c,Qd"
"7s,Kd","8c,4h,2c,5s,Jh"
"Kh,2c","8s,Th,Kc"
"Qh,7h","Ad,8h,2d"
"Jd,Qc","As,Kd,4c,9c"
"Qd,4h","2s,4c,8h,Th,8s"
"6h,4c","2s,Jc,Ah,7c,6c"
"4s,Ad","Jh,Th,4d,9d,Qh"
"6h,5c","8s,Qd,Qh,2h,2s"
"As,8s","3s,3h,9h,7h"
"Ks,6d","7d,Td,2s,4c,5h"
"9s,6s","2c,2h,4d,9c"
"8h,4h","4c,8s,Tc,5d"
"9s,5d","4s,3c,8c"
"6h,Jh","4s,Qh,6c,7s"
"2d,Jh","9h,3c,3d,8s"
"9d,2d","9s,3d,5c,3s"
"4c,Jd","Js,Qc,4d"
"Tc,Qd","Qs,4c,7d"
"5h,Ah","Qh,5s,Ac"
"4s,6c","7d,Qd,9c,6d,Kd"
"9d,3d","Jh,2s,4h"
"Td,7h","3d,5d,5s,7d,Ac"
"Td,4s","Jd,3d,Qh,9s"
"9d,5d","3c,3s,As,Qh,7s"
"2c,3h","Qh,Th,Kd"
"7d,8d","4s,Td,As"
"Tc,Jc","2d,9c,Th,6d,4d"
"Qc,Jd","6c,6s,Th"
"8s,8h","Qc,4s,Jh,5d,3c"
"9s,Jc","7h,Kh,8d,3c,Ts"
"2s,7c","4c,2c,8c,Qh"
"Js,Qh","4s,Th,7h"
"8h,Ts","5h,8d,Tc,6c"
"6d,9d","Qc,2c,2h"
"Jh,5s","Qs,6s,7d"
"5c,3d","2s,2d,4d,Ts,9c"
"5s,6d","7c,5d,Td"
"4d,5c","3c,Tc,Js,3h,8c"
"7h,Ac","3d,8d,Kh"
"3d,3h","Tc,Ac,9s,Js"
"5h,7h","8c,2s,4s"
"Qs,3h","2s,8h,7h,Jd,Qc"
"4c,7c","3d,9c,5d,9s"
"Qc,9d","Qd,Kh,Qs,6d"
"Qd,6h","6c,4s,Qc"
"8h,7s","Kh,3d,Ah"
"Ks,Qc","5c,Jh,Ah,6h,Ad"
"8s,Ks","3s,2h,Qd"
"Ad,8d","4c,Jh,Qd"
"6d,2h","Ad,6h,3d"
"5c,Td","Qs,5s,Th,2d"
"Kd,2d","Qc,Kh,7h,2c"
"4c,7c","4s,6h,Jc,5d,3d"
"Kd,6c","Jc,6h,8d"
"9d,Js","4h,2s,7c"
"4h,Tc","Jh,5c,Kc,9s,7d"
"6s,Kd","6c,Ts,2c,7h,Tc"
"2c,7d","Ts,9h,Qh"
"2s,4c","2c,Th,9c,8s,5h"
"Ac,7s","5c,Jc,Kd"
"2s,Ks","9h,4h,7d"
"Ad,Th","8c,6s,5d,Ac"
"Jh,Kd","8d,5d,6s,Th,2d"
"5s,2h","9c,3d,6d,Ks,6h"
"3h,8c","6c,Js,5s,Qd"
"Tc,Jc","8s,Js,9d,9s,6d"
"Js,3s","2d,Tc,3d"
"3s,4d","9c,6d,Qh,6s,3h"
"Ts,3s","Js,Qc,Jd,5d,4s"
"7d,3d","5h,Qh,6s,Ah,2c"
"2d,Tc","5h,5d,4h,5s"
"Qs,4c","Jh,7c,Qc,2d,4d"
"3d,8h","Ts,9c,Jd,Qc"
"5s,Kc","6d,Td,Kd,2c"
"5s,3d","7h,Td,6s,4s,9s"
"9h,4d","Th,5d,2s,7d,5h"
"3c,Qd","3s,8h,Td"
"2d,9d","Jc,9s,Ac"
"5d,8c","Ad,Tc,8h,Ah"
"Td,7d","8c,Ts,4s"
"Qh,8d","Ac,6s,9h,Jc"
"2h,6s","Ks,8c,2c,Qh,8h"
"9h,4c","5s,Kc,2d,5d"
"Th,5s","Qh,5h,2s"
"Tc,3h","3d,3c,8h,5s"
"7s,4d","9s,Jd,6h,4s,2c"
"As,9s","5c,9d,8s,4d,Kh"
"7c,9h","Jh,2h,2d,5d"
"4h,3d","Qs,6d,6c,Qd,9h"
"8s,Kh","Ks,Qd,2d,7h"
"5h,6d","7d,8c,Qh,Kd,Js"
"9s,Qd","5c,8c,Js,6s"
"7s,6s","6c,6h,Qh,Ks,4s"
"7h,3d","6h,Jd,Jc,4h"
"9s,6d","5c,4h,Ts,9d,9c"
"Ac,7s","Jc,Kh,Tc,Th"
"7c,Qs","Kc,9d,Jd"
"Th,Qh","9h,Jh,9s"
"2h,Js","5c,3d,7d,8s"
"Tc,Kc","8c,3c,Qc,2c"
"7c,Ts","3d,9s,Th,Ah"
"5s,5c","Ad,9d,Th"
"7d,Td","Ad,Jc,Jh,8h"
"9h,Jd","6d,Ah,6h,Ts,Qs"
"5d,3h","Td,6h,Qh,Qc"
"Ac,8h","2d,5c,3c"
"5h,9s","9h,7s,2c,2h"
"Th,9c","As,Ah,8s,Tc,2c"
"9h,2c","7d,Jc,8h,6s"
"Tc,5d","Kc,6h,Js,Qc"
"Jh,7c","4h,6h,Ks"
"5c,5s","Kh,Qd,5h,Qh"
"Ac,3c","Th,8h,7d"
"Qs,Kh","5d,Ac,Jc,8c"
"Qd,2c","4c,6s,Jc"
"7s,6h","6s,Kc,7d,4h,Ac"
"7d,4s","2h,8c,As"
"Tc,Jc","Ad,7d,7c,Td,Qh"
"3h,6c","2s,Ah,Js,4d,Ac"
"2d,7d","Qc,Ks,9c,8s,Th"
"Js,8d","8h,2d,Qd,5d,5c"
"Jd,4d","Qc,2c,9c,9s"
"9s,Qd","9h,4c,Kd,5d,5s"
"4c,8s","8h,9s,Js,Qs"
"5c,2h","2d,7h,8d,6c"
"9c,Ks","Kd,6h,Qs,4h,3s"
"2s,Ad","6d,Th,4s,Kd"
"Kh,3d","7c,9s,6c,Kc"
"2s,6h","Th,Js,Ac,Ks"
"9d,Ad","Jd,5s,5c"
"2s,Kh","5s,9c,4h,8h"
"5c,7d","9c,3s,Ad"
"2d,Th","Jd,4c,3c"
"Tc,9h","Qc,Ah,Td"
"5s,6d","Ts,7h,Ks,4h"
"2s,6c","6d,5d,Kh"
"5d,7s","4c,6d,Jh"
"7s,Ah","Jc,3h,8h,Jh,Kc"
"Qh,Ad","Js,8d,9c,6c"
"9c,2c","3s,2h,Td"
"2c,4c","Js,Qd,7d,2s"
"7d,Jc","2d,4d,9s"
"9h,Qc","6h,Td,8s"
"Kh,7c","4d,4c,3d,2c"
"2c,Td","Kc,8h,3d"
"Th,Jd","4h,Qc,9s,7s"
"5d,9s","6h,4d,7s,3s"
"5h,Kh","Ac,6c,Kd,Tc,3c"
"7c,2s","7d,8h,3s"
"2d,7s","Tc,9c,7c,8h,4c"
"9c,7c","Qc,3c,Jc"
"5c,6s","Ts,Ah,Ks,2c,3c"
"Ac,7d","Qh,Td,9d,Kh"
"5s,Kd","Kh,Ad,6d"
"Jc,5h","4s,8s,Ks,2h"
"9d,Qs","6c,Ad,Ts,Jd,Tc"
"7c,Ks","3h,4c,2h"
"As,Jc","9d,Qc,Jh,Jd,5h"
"8h,Jc","5d,Tc,3d,2d,As"
"Kh,4s","As,7s,2h,5c,9c"
"7c,3d","Jh,8s,Kh,Qs"
"2h,2c","5c,Qh,As,Jc"
"Qh,9h","Qc,Jh,9d,Ad"
"Qc,8c","7h,8d,Ts"
"2d,7s","5c,2h,8s"
"3c,Qc","9c,6d,Kc"
"4d,9c","Jc,8h,Ts,7s,9h"
"8c,Ks","7d,3d,Qs,5c,6d"
"2d,Kd","Kc,2s,3d,5s"
"Ac,2s","9s,Jh,Ks,7d,5c"
"Th,Jh","4s,2h,6d,6c,8s"
"8c,Qc","Th,9c,6h,Qd,Ts"
"6d,9s","3c,2s,5s"
"4h,Jh","9c,Ts,4s"
"8d,9h","As,2s,3c"
"Ad,5c","Ah,7h,Jd,Ac"
"2h,5s","8d,2c,5d"
"8h,Qh","Jc,4c,2c"
"As,Kd","5d,5s,Jh,9s,2h"
"6h,2s","Qh,Tc,As,6s"
"Qh,Qs","8h,Kd,9d"
"2d,4s","Ts,4c,7s,5s,5c"
"5s,2h","Js,6h,4h,3c,7s"
"8h,Ts","Ks,Qs,As,2s"
"Kh,5d","8h,Qd,Th"
"6d,2d","Qc,8s,2c"
"7d,Qd","9d,4d,7c,2c"
"9h,8d","9d,8s,2d,2h,6h"
"Jc,Kd","7s,5h,7d,Ac,8h"
"3h,7d","4s,8h,3d,Ad,Ac"
"6h,Ah","6d,2c,3d,Ad"
"Jd,As","Kc,3h,2c"
"6d,Jc","Js,Jh,6h,7h"
"Jh,9s","9d,Kd,Ts,6s"
"5h,2c","Ad,8h,9h"
"Qh,Ts","Ac,7c,2h,2d"
"Qc,2h","5c,Js,Kc,Th,Tc"
"Td,Ac","8h,5h,7c,7h,Kd"
"4s,3s","Kd,6s,9d,4c,7d"
"Th,Qs","4d,8h,5d,5c"
"6c,7h","Jh,Qd,6h,4c,Jc"
"6h,9h","Tc,Th,4c"
"Jc,7d","Th,8h,Kh"
"Ks,Jh","4d,Ad,8d"
"Qs,6c","Ks,Ah,3h"
"Ts,Qc","Ks,5h,2c,Kh"
"7c,3s","6d,4c,Qs"
"Th,Jc","9h,2c,7c,Td"
"7d,Th","Jd,Js,6c,3h"
"5h,Qd","9s,3h,3c,9h"
"7h,4h","8d,3s,7d,3h"
"9h,Ts","4h,6c,Js"
"9s,4c","Ks,6d,3d,8s,2s"
"6d,Kc","8h,Ah,9h,Qh,6h"
"Ks,3h","Tc,7d,8s"
"8d,Ah","5h,5c,Js,3h,Ts"
"5h,9h","2c,Ts,2s"
"As,2h","Kc,7s,Jd"
"Ks,6h","Kc,Ah,Jc,Tc"
"Qc,8h","Js,4d,2d"
"Tc,2c","3c,3d,6d,Th"
"Jd,6d","As,Js,Th"
"8s,5s","Qc,Jh,2h,6h,3d"
"2h,4s","Qs,6c,4h,2d"
"Ks,5s","Qs,7h,4c,Jh,4h"
"8h,8c","Qs,Ks,8s"
"2h,Ts","Kh,Qh,Jh,2d,6c"
"3s,3h","2s,4c,8h,7c,8d"
"4h,3h","8d,Qd,5s"
"7h,Kh","4c,2c,6c,2h,Qd"
"Jd,7c","7s,As,3c,9d,7h"
"Kc,Th","Td,9c,Ks,Ah,3c"
"5s,2d","Qh,Kc,Jc,Jd,3c"
"6h,Js","4c,3s,5s,6d,Ts"
"Ah,5c","6s,9c,8s,Td,9d"
"As,6c","Qc,9c,Kd,4c,Jh"
"2d,5h","3c,5s,6d,6c"
"6d,Js","3s,5h,6c"
"3d,Ac","5s,4s,5c,8h"
"Jd,Ah","8c,Th,6c,4h"
"Jh,Ad","8h,8d,6s,9h,6h"
"8s,Th","Js,4h,Kd"
"Ks,Js","3d,Kd,Qc,Tc"
"Ad,6c","9c,3s,Th,Js"
"Kc,Qd","5c,Th,4d,4c,Ah"
"8h,Ts","8s,Kd,2c,Td,Jd"
"4d,9s","8d,4s,9h,8c"
"9s,6h","Qc,Ac,5c"
"6h,7c","8c,Ks,Kh"
"4d,3c","5h,4c,Ac,Ad"
"8d,7h","9h,As,9c,6h"
"8s,Td","7d,Kc,Qs,6h"
"8d,6s","4s,9d,Qs,Ks"
"7d,Ah","2c,7c,Jd,4s"
"9s,7h","Ah,9h,4c,8d"
"5c,7h","3d,Ad,9s,Js"
"3h,Tc","8h,2d,Qs"
"Ah,Kd","3d,Qh,Tc,8h,5s"
"5c,Qc","7c,8d,3h,9c,Qs"
"5c,Qd","Ks,4h,9s"
"5h,4c","2s,Qs,7c"
"2s,Ah","5s,6s,7s,5d"
"2c,Qh","4h,3s,Kh"
"8c,3d","8d,Ks,6c"
"Jh,2h","2d,6d,Jd"
"8d,7s","Th,4c,5s,9s,Qh"
"Kd,7s","Qc,5h,8c,5c,2h"
"Kd,5d","7s,6c,3c,Kc,Jh"
"Tc,2s","6s,2c,6d"
"6c,Th","Qh,7h,2h"
"Qs,Ah","9h,7d,6c"
"As,Td","Qh,3d,6h,2h,7h"
"2h,Jh","Ts,9h,5d"
"Kd,8h","3c,4h,Ad,7s"
"4h,Qc","3h,Js,7d,2h,Ks"
"9s,3c","Jd,6d,Kh"
"Ac,4d","Jh,3c,Td,8h"
"7d,Ad","4s,Td,6h,8d"
"2d,Kh","Ts,Qd,Td,Ac"
"2h,9c","4h,Ts,Jc,5h,5d"
"Th,Qc","8h,Qh,7s,2h,6s"
"3h,6c","Jd,6s,Js,Ad,5c"
"Qs,8s","6s,Ad,3s,5c,8d"
"Ad,7c","4d,2c,Ah"
"7d,Ad","6d,Ks,Jd,Js"
"6s,3h","Qc,4c,Th,7c,8d"
"6c,5s","Ts,8h,Kh,5c,5d"
"6d,Ts","5s,7h,Kc,9h"
"7h,3h","8d,Jd,5h,2d,2c"
"6c,7d","2d,4c,Qs,8s,3h"
"Kh,2c","7s,Qh,Jc,2d,4d"
"2s,8c","Td,Qs,6h,3d,6s"
"7c,Ts","Td,9s,Jh"
"As,7h","2h,Td,Qc,9s,Ts"
"Jc,Ts","3c,9d,4d,6d,6h"
"3s,5s","8d,Jd,7h,3d,8c"
"7d,Kh","5d,4d,3c,2c,Ts"
"7d,Ah","Ks,3s,9d,Tc"
"3c,Jc","5d,7h,6s,9h,8s"
"Qd,4h","Qc,7s,3s,5d,Kc"
"5c,5d","3h,Jc,9h,3c,6d"
"3h,Jh","8c,Kh,Tc,7h"
"Tc,Jh","8h,Td,4h,8c"
"6d,3h","2s,9d,Jh"
"3s,3h","2s,Tc,5c"
"Qc,Qs","3h,8d,3s,Ks,6c"
"Ks,Kh","Ad,6h,6c,4h"
"7h,Kh","Jc,Th,2c,9s"
"Qs,7d","Ah,5d,4s,4c,Tc"
"Tc,2c","9h,As,Qc"
"Kh,Qd","7s,Jd,2h,7c,7d"
"8s,Qs","Kc,Ts,7h,4s"
"3h,8s","4c,5s,9s,5h"
"8h,Ts","Kh,Qh,Jd"
"2d,4s","5c,Kc,8d"
"Jc,3c","5h,5c,4h,5d"
"9h,Kc","6d,Jd,5s,5d"
"Qc,Kh","Js,Qs,9d"
"2h,6c","5c,9d,Jc,Js"
"6c,7s","Js,8c,Ac,6d,Td"
"4h,Qd","3h,Jd,Kd"
"9c,Jc","4c,Th,6s,Tc,Td"
"Ac,2d","Js,8h,4c,5c"
"Tc,Jh","6d,Kc,4c"
"9d,3c","Tc,As,8h,Qc"
"2h,Js","7d,Kd,4h,Td,9d"
"Qc,Qd","9d,5s,7c,7s"
"Td,4h","7s,Qd,Jd,Ks"
"4h,Kc","6c,Tc,Th,Kd"
"3d,Ac","8s,4c,Qs"
"Ah,2s","Ts,8h,Ac,8c,5s"
"Th,Qc","Ts,6h,3c,Ah"
"2d,Ad","Kd,Jd,Ac"
"8d,Qd","Tc,5s,Ac,Kh,5c"
"8c,7d","Ah,5h,Ad"
"4s,8h","2c,Tc,Jc,2h,Ah"
"6s,8s","Qd,Jd,Kd,Jh,2c"
"Kc,9d","As,5h,Jc"
"5h,Tc","Ad,7c,8d"
"6h,3d","2h,8c,Th,6s,Qd"
"8c,7d","Ks,8h,5s,Td"
"Kc,8c","6h,2d,Kh,5d"
"3c,3h","Ac,Jh,4h"
"2s,9h","7c,6h,As,Ks,Ad"
"5h,Jh","2c,Ks,6h,9h"
"5d,Kd","8s,7c,Th,Ah"
"As,6c","Kd,Th,5d,6d,8d"
"4s,Qc","5s,Tc,6d"
"As,Td","2c,Js,2d"
"7c,6d","2c,Jc,Ts"
"4h,6s","9s,4d,Jh,Kh"
"Th,As","Kh,5c,7h"
"Jc,Tc","6c,9h,5h"
"5d,5h","3d,4d,6h,Ac"
"7c,3h","Ah,9h,Jh,Jd,6s"
"Qs,9h","2h,8s,Jd"
"Tc,5d","5s,7d,5c,Kh,8h"
"4d,Tc","5h,4c,Th"
"Kd,Qc","4d,7s,4s,3d"
"5d,Jd","4d,4c,8s,Ts,Kc"
"Ac,3h","As,6h,Ts,4d,Kc"
"Kc,9h","Js,2d,5c,Td"
"3d,5h","8d,2c,4c,5d,3h"
"Ks,3h","7h,5d,Qd"
"Kh,Jh","2s,3c,5d,Jd,Qh"
"6h,8c","7c,2d,8s,2s"
"Js,8h","Kh,Ks,Kc"
"8s,Kd","5d,9c,4c,7d"
"2d,Ks","7c,4s,3s"
"7c,Td","3s,Qd,Ks"
"Th,9d","3d,2h,Qh,Jc"
"8c,9h","4h,Tc,2d"
"Js,Ad","Th,9c,6d,4s,Jd"
"4h,7c","5s,6h,Qc,9h,8s"
"8s,Ac","Ks,2d,5h,9c,6d"
"4c,9c","4h,Qh,3h,Qs"
"7d,Jd","Jc,Qd,3h,9h"
"7c,8s","Js,Qh,5d,Tc,7s"
"Qh,Qc","6c,8h,As"
"Kh,2h","9c,8d,Ad,2s,4h"
"Ah,4c","Qs,8c,Jd,4s"
"8s,Td","Ts,6h,Jh,Ad,2h"
"2d,2c","Jc,Ac,8d,6h"
"Ts,2h","2d,4d,8c,Jd,6d"
"4c,3d","8h,4s,Jd,9c,As"
"7d,5d","5c,9d,6h,4h"
"4d,Ts","Kc,2h,9s"
"7c,Jd","8s,7d,Kh"
"Jh,8s","7s,Th,9s,6h"
"Qs,7c","9s,3h,Jc,Ad,5c"
"Ad,9h","8d,9d,2c,5c"
"2s,3s","7d,Tc,3d"
"3c,8c","Qd,9h,5h"
"6s,8s","Qs,8d,Qh,2d"
"Ts,6d","Kd,8d,9d,Tc"
"4s,8d","Ad,9c,4c,3h,9d"
"Jd,Qd","7d,Qs,Js,5c"
"Ks,Qc","Th,Qd,3s"
"Ac,Ad","Jd,2c,2d,Jc,Kc"
"3h,3s","2s,Qd,6s"
"6c,3h","5h,Ac,3s"
"7s,4s","6d,7d,Qs"
"Jd,2c","9d,4h,5d,7h,Js"
"5h,6c","Td,As,Ac,6h"
"Qd,5s","Td,Jh,6c"
"3d,Tc","4h,Jh,Qs,8c,Th"
"Kc,2h","Tc,3s,9h"
"Jh,5s","Qs,7c,5d,5c,6s"
"2c,5s","7s,Ac,5h,Kc"
"Td,6h","6c,3c,8h,2h,4d"
"5h,6c","Kd,Qh,2s,6h,Jc"
"Qc,Qh","4c,7c,7d,Ts,8c"
"6h,Kh","3s,Kd,Qd,As"
"8h,Ac","3h,9s,Th"
"Js,4c","2c,Qh,Ac,7c,Jd"
"6c,Tc","8h,Jc,2h,9c"
"3c,5s","2c,7h,Jd,7s,3d"
"6h,6d","Kd,3h,2h"
"7h,Js","Jc,4c,2d"
"5c,2c","9d,2d,5d"
"Th,8d","8h,5c,Ac"
"7s,7c","8s,Qd,Ad"
"2s,Jd","9c,7h,5c"
"5h,As","7s,3s,3c,Qc"
"Ts,Jc","2h,2s,8d,5h"
"8c,Qh","8d,Jc,3c"
"2s,Js","9s,Th,Tc,9d,4h"
"6d,5c","8s,Qc,Kh"
"Ks,6s","2c,Qc,Qd,4d,5h"
"2d,8d","3s,5d,2h"
"8d,Ah","Tc,Td,4c,9c,2s"
"Ah,4d","3c,8d,9d,6d"
"Ks,3c","3d,2d,Js"
"Kh,5h","Js,3c,Ac"
"9c,Kc","9h,Kd,7d"
"Qh,9s","Qs,7h,Th"
"4d,Th","Tc,Qc,2d"
"4s,Qd","7h,Kh,7d,Ah,9c"
"4d,5s","5c,6h,6d,7s"
"Qd,Ah","3s,6h,8s,9s,Ac"
"Qh,3c","3h,7s,Qc,5h"
"Kc,Jh","3s,Qs,9s"
"6h,Td","7d,7c,8h,3s,4s"
"Ks,5c","7s,Ah,7d"
"8h,8d","5s,As,Td"
"Jd,7h","Th,5d,As"
"Jc,2s","5s,3c,Ah,Qh"
"Js,9d","8d,7d,6d,Qh,4s"
"Kh,8h","8d,Jh,8c,As"
"Ah,4d","Kd,9c,7d,5c"
"5d,5h","Ts,Jh,Ks"
"9h,Jc","Jh,5h,4c,Td"
"3s,Qd","5c,Ks,8s,6c,Th"
"Tc,7c","7s,3d,Jh,4d,9d"
"7d,Ks","6s,Td,2s,Qd,Ac"
"Ah,6d","Td,5c,Ac"
"7d,3d","Ac,4h,8s"
"Qc,4h","8s,8d,3c,7s,2c"
"6h,4h","8d,Jd,Kc,7c,3h"
"7d,Td","Jd,2d,As,4c"
"Ac,8c","9d,6h,2c"
"7c,Jd","8d,8s,9c,9s,6c"
"5c,4h","9d,Jc,4s,5h,2h"
"Jd,Kc","6s,Qh,4h,9c,7s"
"3d,Qh","9c,Tc,5d,Qs"
"8s,Ac","2s,9d,7c,Jd,6c"
"7h,Ks","6s,5h,7d,7c"
"As,7h","3s,Jh,9s,3h,Kd"
"3d,2d","3s,4c,Jc,7d"
"4c,2d","Qs,Tc,4d,2h"
"Th,9h","2d,8d,5d,9d,Ad"
"7s,9d","7h,Th,Ks"
"5s,Qh","Jd,2d,6h"
"9h,8c","8s,Jc,4s"
"Kh,6s","8c,3s,Ah,9s,2d"
"Tc,Td","Th,5h,4d"
"9s,6c","6h,8h,8d,7s,2h"
"2d,6c","7h,5h,Kh"
"Qd,3s","5s,6c,Kc"
"Ah,9c","3d,Qh,Kc,9d"
"Jh,7h","9d,6c,8h"
"Td,Tc","Jc,2h,6h,6d,Ks"
"Jc,6c","9h,9s,5h,Kh,8c"
"5h,6c","8d,Ad,9h,4s"
"7d,8d","Th,6s,Ac"
"Th,2c","2s,7c,Js,5c,Ts"
"Js,8d","Ac,Td,9c,Ah,Th"
"Qc,Ah","5s,4c,8h,9s,3s"
"4s,Kc","Qd,Qh,7d,Kh,Qs"
"7d,8s","6c,3c,Kh"
"8s,Ac","4c,2s,6s,Th"
"4c,Td","2s,6d,Jh"
"Qc,Td","5s,9s,3d,9h"
"7h,Jh","As,Kh,5d,5c"
"Ah,Ks","2s,6d,4h,As,5h"
"7c,5h","3s,Kh,4s,Jc,9h"
"Td,2h","7c,Kc,5c"
"8d,Tc","2c,7h,Ah,Kh,Ac"
"8d,7d","Ah,5h,Kc,5s,6h"
"7h,7c","4h,3s,2d,6d"
"5h,6s","4c,Ks,9d"
"Qh,3d","6h,6d,Kd,3c,Jd"
"4d,Ac","6h,Kc,Kd,Jd"
"Qc,Jh","9d,3d,5c,3h,Qh"
"3h,5s","6d,Qs,5c,2c,Qc"
"8c,5d","9h,Js,4h"
